Club_Name,Name,Event,Role
club_1,Amaris Jones,club_1_event_3,organiser_3
club_1,Annette Ahmed,club_1_event_1,organiser_1
club_1,Annette Ahmed,club_1_event_2,organiser_1
club_1,Annette Ahmed,club_1_event_3,organiser_1
club_1,Aylin Seals,club_1_event_1,organiser_4
club_1,Aylin Seals,club_1_event_2,organiser_4
club_1,Aylin Seals,club_1_event_3,organiser_4
club_3,Brionna Grimes,club_3_event_2,organiser_2
club_3,Brionna Grimes,club_3_event_3,organiser_2
club_3,Brionna Grimes,club_3_event_1,organiser_2
club_3,Charisma Wilbur,club_3_event_2,organiser_5
club_2,Colin Hughes,club_2_event_2,organiser_5
club_2,Cristobal Fallon,club_2_event_1,organiser_2
club_2,Cristobal Fallon,club_2_event_3,organiser_2
club_2,Cristobal Fallon,club_2_event_2,organiser_2
club_2,Daisha Yoon,club_2_event_3,organiser_3
club_2,Daisha Yoon,club_2_event_1,organiser_3
club_2,Daisha Yoon,club_2_event_2,organiser_3
club_1,Dayna Steele,club_1_event_2,organiser_3
club_1,Dayna Steele,club_1_event_1,organiser_3
club_2,Evelin Bradley,club_2_event_3,organiser_1
club_2,Evelin Bradley,club_2_event_2,organiser_1
club_2,Evelin Bradley,club_2_event_1,organiser_1
club_2,Guillermo Hackney,club_2_event_3,organiser_5
club_2,Guillermo Hackney,club_2_event_1,organiser_5
club_2,Justyn Goetz,club_2_event_2,organiser_4
club_2,Justyn Goetz,club_2_event_1,organiser_4
club_2,Justyn Goetz,club_2_event_3,organiser_4
club_1,Justyn Goetz,club_1_event_3,organiser_5
club_1,Justyn Goetz,club_1_event_2,organiser_5
club_1,Justyn Goetz,club_1_event_1,organiser_5
club_3,Kalen Logan,club_3_event_3,organiser_3
club_3,Kalen Logan,club_3_event_2,organiser_3
club_3,Kalen Logan,club_3_event_1,organiser_3
club_3,Kathrine Leone,club_3_event_1,organiser_1
club_3,Kathrine Leone,club_3_event_2,organiser_1
club_3,Kathrine Leone,club_3_event_3,organiser_1
club_3,Mckenzie Finn,club_3_event_1,organiser_4
club_3,Mckenzie Hitchcock,club_3_event_2,organiser_4
club_3,Mckenzie Hitchcock,club_3_event_3,organiser_4
club_1,Semaj Plummer,club_1_event_3,organiser_2
club_1,Semaj Plummer,club_1_event_2,organiser_2
club_1,Semaj Plummer,club_1_event_1,organiser_2
club_3,Sydnee Mears,club_3_event_1,organiser_5
club_3,Sydnee Mears,club_3_event_3,organiser_5
